Team,Nationality,Position,Age,Potential,Name
KV Oostende ,Belgium,Defensor Extremo Derecho | Defensor Lateral Derecho | Mediocampista Derecho | Extremo Derecho,21,Bueno,Jelle Bataille
SC Paderborn 07 ,Germany,Segundo Delantero,26,Bueno,Dennis Srbeny
West Bromwich Albion ,England,Mediocampista Defensivo Central | Mediocampista Central,20,Muy Bueno,Rekeem Harper
Free Agents ,Slovenia,Defensor Central,27,Bueno,Nemanja Mitrovic
Empoli ,Slovenia,Defensor Lateral Izquierdo,25,Bueno,Jure Balkovec
Albacete BP ,Spain,Mediocampista Derecho | Mediocampista Izquierdo,25,Bueno,Dani Ojeda
CD Antofagasta ,Chile,Mediocampista Izquierdo | Extremo Izquierdo,27,Bueno,Gary Tello
FC St. Pauli ,Norway,Defensor Central,20,Muy Bueno,Leo Østigård
Marítimo ,Brazil,Defensor Central | Mediocampista Defensivo Central,28,Bueno,Renê Santos
F.C. Tokyo ,Korea Republic,Segundo Delantero | Mediocampista Izquierdo,23,Bueno,Na Sang Ho
Valenciennes FC ,France,Mediocampista Defensivo Central | Mediocampista Central,22,Bueno,Julien Masson
Heracles Almelo ,Netherlands,Defensor Central,21,Muy Bueno,Mats Knoester
Club Atlas ,Mexico,Defensor Lateral Derecho | Mediocampista Defensivo Central,23,Bueno,Edgar Zaldívar
Urawa Red Diamonds ,Japan,Segundo Delantero,27,Bueno,Kenyu Sugimoto
Cerezo Osaka ,Japan,Defensor Central | Mediocampista Defensivo Central | Mediocampista Central,26,Bueno,Yasuki Kimoto
SK Rapid Wien ,Japan,Segundo Delantero | Delantero Centro,24,Bueno,Koya Kitagawa
Shimizu S-Pulse ,Japan,Mediocampista Derecho,25,Bueno,Shota Kaneko
Kashima Antlers ,Japan,Defensor Central,27,Bueno,Tomoya Inukai
Hokkaido Consadole Sapporo ,Japan,Mediocampista Izquierdo,21,Bueno,Daiki Suga
Hokkaido Consadole Sapporo ,Japan,Mediocampista Central,25,Bueno,Kazuki Fukai
Atlanta United ,United States,Defensor Extremo Derecho | Defensor Lateral Derecho | Mediocampista Derecho | Extremo Derecho,22,Bueno,Brooks Lennon
1. FC Kaiserslautern ,Germany,Segundo Delantero | Mediocampista Izquierdo,24,Bueno,Florian Pick
SV Werder Bremen ,Austria,Defensor Lateral Izquierdo | Defensor Central,22,Bueno,Marco Friedl
Desportivo das Aves ,Bosnia & Herzegovina,Defensor Central,28,Bueno,Adi Mehremic
Kashima Antlers ,Japan,Defensor Lateral Izquierdo | Mediocampista Izquierdo,25,Bueno,Katsuya Nagato
Lech Poznan ,Ukraine,Defensor Lateral Izquierdo,27,Bueno,Volodymyr Kostevych
FC Midtjylland ,Guinea,Segundo Delantero,25,Bueno,Sory Kaba
Middlesbrough ,England,Mediocampista Central | Extremo Derecho | Extremo Izquierdo,21,Muy Bueno,Marcus Tavernier
UD Las Palmas ,Spain,Defensor Lateral Derecho | Defensor Central,26,Bueno,Eric Curbelo
SV Darmstadt 98 ,Korea Republic,Mediocampista Central | Extremo Derecho | Extremo Izquierdo,23,Bueno,Paik Seung Ho
FC Zürich ,Switzerland,Mediocampista Defensivo Central | Mediocampista Central,21,Bueno,Vasilije Janjicic
R. Oviedo ,Spain,Defensor Lateral Derecho,25,Bueno,Juanjo Nieto
KV Oostende ,Belgium,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,21,Bueno,Louis Verstraete
Club Atlético de San Luis ,Argentina,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,21,Muy Bueno,Germán Berterame
Portland Timbers ,Paraguay,Mediocampista Defensivo Central | Mediocampista Central,22,Bueno,Cristhian Paredes
Málaga CF ,lbania,Mediocampista Defensivo Central | Mediocampista Central,22,Bueno,Keidi Bare
BK Häcken ,Sweden,Centrocampista Ofensivo Central | Extremo Derecho,22,Bueno,Daleho Irandust
Empoli ,Greece,Defensor Central,21,Bueno,Dimitrios Nikolaou
Le Mans FC ,France,Segundo Delantero | Centrocampista Ofensivo Central,26,Bueno,Yanis Merdji
Pisa ,Italy,Defensor Lateral Derecho | Defensor Central | Mediocampista Derecho,21,Muy Bueno,Samuele Birindelli
Coquimbo Unido ,Chile,Centrocampista Ofensivo Central | Extremo Izquierdo,25,Bueno,Joe Abrigo
Deportivo Toluca ,Ecuador,Defensor Lateral Izquierdo | Mediocampista Izquierdo,24,Bueno,Aníbal Chalá
Kawasaki Frontale ,Japan,Mediocampista Defensivo Central,21,Bueno,Ao Tanaka
Nîmes Olympique ,France,Mediocampista Defensivo Central | Mediocampista Central,22,Bueno,Lamine Fomba
Futebol Clube de Famalicão ,Brazil,Extremo Izquierdo,25,Bueno,Walterson
Royal Antwerp FC ,Cameroon,Defensor Central | Mediocampista Defensivo Central | Mediocampista Central,22,Bueno,Martin Hongla
Huddersfield Town ,England,Mediocampista Central | Extremo Izquierdo,21,Bueno,Lewis O'Brien
AD Alcorcón ,Spain,Defensor Central,24,Bueno,Adrián Diéguez
Aarhus AGF ,Sierra Leone,Segundo Delantero | Mediocampista Derecho | Extremo Derecho,23,Bueno,Mustapha Bundu
Millwall ,Republic of Ireland,Mediocampista Defensivo Central | Mediocampista Central,20,Muy Bueno,Jayson Molumby
Unión Española ,Uruguay,Segundo Delantero,29,Bueno,Cristian Palacios
LDU Quito ,Ecuador,Defensor Central,28,Bueno,Luis Caicedo
Bahia ,Brazil,Segundo Delantero,24,Bueno,Enzio Julião
Centro Sportivo Alagoano ,Brazil,Centrocampista Ofensivo Central | Extremo Izquierdo,28,Bueno,Heitor Mutto
Avaí ,Brazil,Centrocampista Ofensivo Central | Delantero Centro,20,Bueno,Freddy Cardouso
Avaí ,Brazil,Defensor Lateral Izquierdo | Mediocampista Izquierdo,24,Bueno,Daniel Mestrança
PEC Zwolle ,Netherlands,Mediocampista Central,24,Bueno,Pelle Clement
CS Emelec ,Uruguay,Segundo Delantero,27,Bueno,Facundo Barceló
Al Fateh ,Morocco,Defensor Central | Mediocampista Defensivo Central,28,Bueno,Marwane Saadane
Pordenone ,Italy,Arquero,23,Bueno,Michele Di Gregorio
Colorado Rapids ,United States,Defensor Central,21,Bueno,Auston Trusty
RB Leipzig ,Wales,Defensor Central | Mediocampista Defensivo Central,19,Muy Bueno,Ethan Ampadu
Sheffield Wednesday ,Scotland,Defensor Central,23,Bueno,David Bates
Cruz Azul ,Mexico,Mediocampista Izquierdo,20,Bueno,Misael Domínguez
FC Groningen ,Sweden,Centrocampista Ofensivo Central,23,Bueno,Ramon Pascal Lundqvist
KAS Eupen ,Belgium,Arquero,23,Bueno,Ortwin De Wolf
AS Nancy Lorraine ,Guinea,Defensor Central,33,Bueno,Ernest Seka
Legia Warszawa ,Poland,Arquero,20,Bueno,Radoslaw Majecki
West Bromwich Albion ,Republic of Ireland,Defensor Lateral Derecho | Defensor Central,21,Bueno,Dara O'Shea
Fotbal Club Viitorul Constan?a ,Romania,Segundo Delantero | Extremo Derecho | Extremo Izquierdo,26,Bueno,Gabriel Iancu
Odense Boldklub ,Tunisia,Segundo Delantero | Mediocampista Izquierdo,28,Bueno,Issam Jebali
Molde FK ,Belgium,Arquero,24,Bueno,Alex Craninx
Pisa ,Italy,Mediocampista Central | Centrocampista Ofensivo Central,29,Bueno,Nicholas Siega
VfL Bochum 1848 ,Germany,Defensor Lateral Izquierdo | Mediocampista Defensivo Central | Mediocampista Central,22,Bueno,Vitaly Janelt
Burnley ,Republic of Ireland,Defensor Central,22,Bueno,Jimmy Dunne
Guaraní (Paraguay) ,Argentina,Mediocampista Derecho | Extremo Derecho | Extremo Izquierdo,26,Bueno,Nicolás Maná
Cruz Azul ,Mexico,Arquero,22,Bueno,Sebastián Jurado
SK Rapid Wien ,Montenegro,Defensor Extremo Derecho | Defensor Lateral Derecho | Extremo Derecho,27,Bueno,Filip Stojkovic
VfL Osnabrück ,Germany,Segundo Delantero | Mediocampista Derecho | Centrocampista Ofensivo Central,22,Bueno,Niklas Schmidt
FC Luzern ,Georgia,Defensor Lateral Derecho,25,Bueno,Otar Kakabadze
R. Zaragoza ,Spain,Arquero,27,Bueno,Ratón
Ajax ,Netherlands,Defensor Lateral Izquierdo | Defensor Central,20,Bueno,Kik Pierie
Atlanta United ,Brazil,Mediocampista Central | Centrocampista Ofensivo Central,24,Bueno,Matheus Rossetto
Frosinone ,Poland,Defensor Lateral Derecho | Defensor Central,26,Bueno,Przemyslaw Szyminski
spusu SKN St. Pölten ,Austria,Arquero,28,Bueno,Christoph Riegler
Le Mans FC ,France,Mediocampista Defensivo Central | Mediocampista Central,27,Bueno,Guessouma Fofana
Unión La Calera ,Chile,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,26,Bueno,Juan Leiva
Elche CF ,Spain,Defensor Lateral Izquierdo,24,Bueno,Andoni López
Impact Montréal ,Finland,Mediocampista Izquierdo | Extremo Izquierdo,21,Bueno,Lassi Lappalainen
FC Erzgebirge Aue ,Germany,Defensor Central,28,Bueno,Steve Breitkreuz
Club Atlético Aldosivi ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,24,Bueno,Leandro Maciel
FC Groningen ,Netherlands,Defensor Lateral Izquierdo | Mediocampista Izquierdo,24,Bueno,Django Warmerdam
Havre Athletic Club ,Hungary,Defensor Lateral Derecho,26,Bueno,Barnabás Bese
KSV Cercle Brugge ,France,Segundo Delantero | Extremo Izquierdo,23,Bueno,Alimami Gory
Antalyaspor ,Turkey,Mediocampista Derecho | Mediocampista Izquierdo | Centrocampista Ofensivo Central,21,Bueno,Dogukan Sinik
KV Kortrijk ,Ghana,Mediocampista Derecho | Mediocampista Izquierdo,22,Bueno,Eric Ocansey
Avaí ,Brazil,Segundo Delantero,28,Bueno,Jonaldo Santoso
Goiás ,Brazil,Centrocampista Ofensivo Central,24,Bueno,Adrián Maideira
Chapecoense ,Brazil,Centrocampista Ofensivo Central,24,Bueno,Jorgino Baumer
Santos ,Brazil,Centrocampista Ofensivo Central,28,Bueno,Claudio Mouria
Santos ,Brazil,Mediocampista Defensivo Central,24,Bueno,Tomás Nuninho
Chapecoense ,Brazil,Arquero,32,Bueno,Márcio Velinha
Chapecoense ,Brazil,Defensor Lateral Derecho,24,Bueno,Vágner Norteiro
Stade de Reims ,Switzerland,Extremo Derecho | Extremo Izquierdo,22,Muy Bueno,Dereck Kutesa
FC Twente ,Spain,Defensor Lateral Izquierdo,25,Bueno,Matos
Grenoble Foot 38 ,Switzerland,Mediocampista Defensivo Central,23,Muy Bueno,Charles Pickel
FC Emmen ,Sweden,Arquero,21,Bueno,Pontus Dahlberg
Sivasspor ,France,Defensor Central,27,Bueno,Samba Camara
Athlétic Club Ajaccio ,Belgium,Segundo Delantero | Mediocampista Derecho,23,Bueno,Hugo Cuypers
Rio Ave FC ,Brazil,Defensor Central,25,Bueno,Messias
Club Always Ready ,Bolivia,Mediocampista Defensivo Central | Mediocampista Central,30,Bueno,Fernando Saucedo
CD Tenerife ,Argentina,Segundo Delantero,23,Bueno,Ramón Miérez
Guaraní (Paraguay) ,Argentina,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,25,Bueno,Bautista Merlini
Málaga CF ,Venezuela,Defensor Lateral Izquierdo | Defensor Central,27,Bueno,Mikel Villanueva
Kashima Antlers ,Japan,Defensor Central,26,Bueno,Tatsuki Nara
Willem II ,Germany,Extremo Izquierdo,22,Bueno,Mats Köhlert
Nottingham Forest ,Kosovo,Arquero,21,Bueno,Arijanet Muric
Kawasaki Frontale ,Japan,Mediocampista Izquierdo | Centrocampista Ofensivo Central,26,Bueno,Tatsuya Hasegawa
Nagoya Grampus ,Japan,Mediocampista Defensivo Central | Mediocampista Central,28,Bueno,Sho Inagaki
Shonan Bellmare ,Japan,Mediocampista Central,29,Bueno,Akimi Barada
Urawa Red Diamonds ,Japan,Defensor Central,26,Bueno,Takuya Iwanami
KSV Cercle Brugge ,Japan,Defensor Central,25,Bueno,Naomichi Ueda
F.C. Tokyo ,Japan,Defensor Lateral Derecho | Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Extremo Izquierdo,23,Bueno,Ryoya Ogawa
Nagoya Grampus ,Japan,Defensor Central,31,Bueno,Yuichi Maruyama
Patronato ,Argentina,Segundo Delantero,29,Bueno,Cristian Tarragona
FC København ,Denmark,Mediocampista Derecho | Mediocampista Central,23,Bueno,Jens Stage
Jeonbuk Hyundai Motors ,Korea Republic,Defensor Central,28,Bueno,Kim Min Hyeok
Club Atlético Huracán ,Argentina,Defensor Central | Mediocampista Defensivo Central,25,Bueno,Mariano Bareiro
Vitesse ,Netherlands,Defensor Central,22,Bueno,Danilho Doekhi
Gamba Osaka ,Japan,Mediocampista Defensivo Central | Mediocampista Central,23,Bueno,Yosuke Ideguchi
Vegalta Sendai ,Japan,Segundo Delantero,31,Bueno,Shun Nagasawa
Sanfrecce Hiroshima ,Japan,Mediocampista Derecho | Delantero Centro,35,Bueno,Kosei Shibasaki
Gamba Osaka ,Japan,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,31,Bueno,Hiroki Fujiharu
Oita Trinita ,Japan,Mediocampista Central | Centrocampista Ofensivo Central | Delantero Centro,25,Bueno,Kazuki Kozuka
Urawa Red Diamonds ,Japan,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,27,Bueno,Ryosuke Yamanaka
Kashima Antlers ,Japan,Mediocampista Izquierdo | Mediocampista Central,26,Bueno,Ryuji Izumi
Rayo Vallecano ,Spain,Mediocampista Derecho,25,Bueno,Isi
Al Nassr ,Saudi Arabia,Defensor Lateral Derecho,26,Bueno,Sultan Abdullah Al Ghannam
F.C. Tokyo ,Japan,Mediocampista Defensivo Central | Mediocampista Derecho | Mediocampista Central,29,Bueno,Hirotaka Mita
Perugia ,Italy,Defensor Lateral Izquierdo | Defensor Central | Mediocampista Izquierdo,26,Bueno,Nicola Falasco
Asocia?ia Fotbal Club Astra Giurgiu ,Croatia,Mediocampista Defensivo Central | Mediocampista Central,26,Bueno,Ljuban Crepulja
Urawa Red Diamonds ,Japan,Segundo Delantero | Delantero Centro | Extremo Izquierdo,31,Bueno,Yuki Muto
Urawa Red Diamonds ,Japan,Mediocampista Defensivo Central | Mediocampista Central,30,Bueno,Takuya Aoki
Coquimbo Unido ,Paraguay,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Central,30,Bueno,Maximiliano Lugo
CD Lugo ,Spain,Defensor Central | Mediocampista Defensivo Central,32,Bueno,Josete
Atlético Madrid ,Serbia,Segundo Delantero,22,Bueno,Ivan Šaponjic
Huachipato FC ,Chile,Defensor Central,23,Bueno,Nicolás Ramírez
Newcastle Jets ,Australia,Mediocampista Defensivo Central | Mediocampista Central,25,Bueno,Steven Ugarkovic
SV Darmstadt 98 ,Austria,Segundo Delantero | Defensor Lateral Izquierdo | Mediocampista Izquierdo,23,Bueno,Mathias Honsak
CD Tenerife ,United States,Defensor Lateral Derecho | Defensor Lateral Izquierdo | Mediocampista Derecho,23,Bueno,Shaquell Moore
CD Everton de Viña del Mar ,Paraguay,Segundo Delantero,25,Bueno,Walter González
Club Libertad ,Paraguay,Mediocampista Defensivo Central | Mediocampista Izquierdo | Mediocampista Central,31,Bueno,Blas Cáceres
Al Raed ,Colombia,Defensor Central,27,Bueno,Ezequiel Palomeque
Minnesota United FC ,United States,Arquero,27,Bueno,Tyler Miller
FC Sochaux-Montbéliard ,France,Arquero,23,Bueno,Maxence Prévot
Once Caldas ,Colombia,Mediocampista Derecho,26,Bueno,Kevin Londoño
New England Revolution ,Colombia,Mediocampista Defensivo Central | Mediocampista Central,24,Bueno,Luis Caicedo
Deportivo Pasto ,Colombia,Segundo Delantero,30,Bueno,Feiver Mercado
CD Antofagasta ,Chile,Segundo Delantero,31,Bueno,Carlos Muñoz
AFC Bournemouth ,England,Defensor Lateral Izquierdo | Defensor Central,21,Muy Bueno,Lloyd Kelly
West Bromwich Albion ,England,Segundo Delantero | Mediocampista Derecho,21,Bueno,Jonathan Leko
West Bromwich Albion ,England,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,22,Bueno,Kyle Edwards
Holstein Kiel ,Germany,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,22,Bueno,Emmanuel Iyoha
Huachipato FC ,Chile,Arquero,24,Bueno,Yerko Urra
Club Bolívar ,Bolivia,Defensor Lateral Derecho | Mediocampista Derecho | Extremo Derecho,24,Bueno,Erwin Saavedra
Newell's Old Boys ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,24,Bueno,Braian Rivero
Málaga CF ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,25,Bueno,Esteban Rolón
Athletic Club ,Spain,Segundo Delantero,23,Bueno,Guruzeta
Hellas Verona ,Serbia,Arquero,24,Bueno,Boris Radunovic
FC Zürich ,Switzerland,Centrocampista Ofensivo Central,29,Bueno,Antonio Marchesano
Nîmes Olympique ,Senegal,Mediocampista Defensivo Central | Mediocampista Central,24,Bueno,Sidy Sarr
FC Dallas ,United States,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,29,Bueno,Fafà Picault
Club Atlético Aldosivi ,Uruguay,Defensor Lateral Derecho | Mediocampista Defensivo Central | Mediocampista Central,27,Bueno,Federico Gino
Fotbal Club Viitorul Constan?a ,Brazil,Segundo Delantero,25,Bueno,Rivaldinho
Vitória Guimarães ,France,Mediocampista Central,23,Bueno,Denis Will Poha
UD Las Palmas ,Ivory Coast,Mediocampista Derecho | Mediocampista Izquierdo | Centrocampista Ofensivo Central,22,Bueno,Jean Armel Drolè
SD Ponferradina ,Spain,Mediocampista Izquierdo | Mediocampista Central,24,Bueno,Nacho Gil
Portimonense SC ,Brazil,Defensor Lateral Izquierdo,23,Bueno,Júnior Tavares
FC Admira Wacker Mödling ,Turkey,Segundo Delantero,26,Bueno,Sinan Bakis
Club Athletico Paranaense ,Brazil,Defensor Lateral Izquierdo | Mediocampista Izquierdo,28,Bueno,Kaio Figueiras
Bahia ,Brazil,Mediocampista Derecho | Centrocampista Ofensivo Central,20,Bueno,Dener Rolim
Botafogo ,Brazil,Mediocampista Derecho | Mediocampista Central | Centrocampista Ofensivo Central,24,Bueno,Lucas Medeirão
Palmeiras ,Brazil,Segundo Delantero | Defensor Lateral Derecho | Mediocampista Central,28,Bueno,Nazarinho Rios
Goiás ,Brazil,Defensor Central,28,Bueno,Mauriçio Clerez
Fluminense ,Brazil,Defensor Lateral Derecho,24,Bueno,Helito Caldeira
Vasco da Gama ,Brazil,Defensor Central | Mediocampista Defensivo Central | Mediocampista Central,24,Bueno,Sérgio Espinho
Centro Sportivo Alagoano ,Brazil,Defensor Lateral Derecho,28,Bueno,Ataúlfo Anjos
São Paulo ,Brazil,Mediocampista Central,28,Bueno,Silaldo Taffarel
Centro Sportivo Alagoano ,Brazil,Defensor Lateral Izquierdo,28,Bueno,Jessé Ferdeira
Vasco da Gama ,Brazil,Defensor Central,24,Bueno,Leandro Pestanha
São Paulo ,Brazil,Defensor Central,24,Bueno,Adriano Junqueiras
Fluminense ,Brazil,Segundo Delantero | Delantero Centro,28,Bueno,Adão Morrinhos
Fluminense ,Brazil,Mediocampista Defensivo Central | Mediocampista Central,24,Bueno,Jadson Castrelo
Fluminense ,Brazil,Defensor Lateral Derecho | Defensor Central,24,Bueno,Kauã Zanson
Botafogo ,Brazil,Defensor Lateral Izquierdo | Defensor Central,24,Bueno,Eder Pinhanços
Avaí ,Brazil,Defensor Extremo Derecho | Defensor Lateral Derecho | Mediocampista Derecho | Extremo Derecho,24,Bueno,Nosberto Vila
Bahia ,Brazil,Defensor Lateral Derecho,24,Bueno,Anselmo Meirás
Bahia ,Brazil,Defensor Lateral Izquierdo,28,Bueno,Fredinho Mutto
KSV Cercle Brugge ,Mali,Mediocampista Defensivo Central | Mediocampista Derecho | Mediocampista Central,24,Bueno,Lassana Coulibaly
Middlesbrough ,Germany,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,21,Muy Bueno,Lukas Nmecha
Swansea City ,France,Segundo Delantero | Mediocampista Derecho,24,Bueno,Aldo Kalulu
Waasland-Beveren ,Poland,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,22,Bueno,Jakub Piotrowski
SSV Jahn Regensburg ,Germany,Mediocampista Derecho | Centrocampista Ofensivo Central,25,Bueno,Sebastian Stolze
BSC Young Boys ,Switzerland,Defensor Central | Mediocampista Defensivo Central | Mediocampista Central,23,Bueno,Sandro Lauper
SV Sandhausen ,Germany,Mediocampista Defensivo Central | Mediocampista Central,25,Bueno,Emanuel Taffertshofer
Stade Brestois 29 ,France,Defensor Lateral Derecho | Defensor Central,23,Bueno,Jean-Kévin Duverne
Marítimo ,France,Mediocampista Defensivo Central | Mediocampista Central,25,Bueno,Franck Bambock
Elche CF ,Spain,Mediocampista Derecho | Mediocampista Izquierdo,30,Bueno,Josan
Hammarby IF ,Montenegro,Mediocampista Derecho | Mediocampista Izquierdo,26,Bueno,Vladimir Rodic
Rodez Aveyron Football ,France,Arquero,26,Bueno,Arthur Desmas
Santa Clara ,Portugal,Mediocampista Central,25,Bueno,Francisco Ramos
Huachipato FC ,Paraguay,Mediocampista Izquierdo | Extremo Izquierdo,27,Bueno,Cris Martínez
Universidad de Chile ,Chile,Arquero,29,Bueno,Fernando De Paul
CD Tenerife ,Spain,Mediocampista Defensivo Central | Mediocampista Central,25,Bueno,Undabarrena
FC Sion ,Switzerland,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,23,Bueno,Anto Grgic
AZ ,Netherlands,Arquero,22,Bueno,Rody de Boer
SV Darmstadt 98 ,Germany,Mediocampista Derecho | Mediocampista Izquierdo,23,Bueno,Tim Skarke
1. FC Heidenheim 1846 ,Germany,Defensor Lateral Izquierdo,24,Bueno,Jonas Föhrenbach
Curicó Unido ,Chile,Defensor Lateral Derecho | Mediocampista Central,28,Bueno,Pablo Corral
Football Club de Metz ,France,Defensor Lateral Izquierdo,24,Bueno,Matthieu Udol
RC Celta ,Ghana,Mediocampista Derecho | Extremo Derecho,23,Bueno,Yaw Yeboah
CD Universidad de Concepción ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,31,Bueno,Alejandro Camargo
AZ ,Greece,Defensor Central,23,Bueno,Pantelis Hatzidiakos
Orlando Pirates ,South Africa,Mediocampista Izquierdo | Centrocampista Ofensivo Central | Extremo Izquierdo,32,Bueno,Luvuyo Memela
Olympiacos CFP ,France,Arquero,28,Bueno,Bobby Allain
Dijon FCO ,France,Defensor Lateral Derecho | Defensor Lateral Izquierdo,31,Bueno,Mickaël Alphonse
Charlton Athletic ,England,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,22,Muy Bueno,André Green
Real Racing Club ,Spain,Defensor Lateral Derecho | Defensor Lateral Izquierdo,22,Bueno,Aitor Buñuel
Guaraní (Paraguay) ,Paraguay,Segundo Delantero,28,Bueno,Fernando Fernández
Boavista FC ,Peru,Defensor Central,24,Bueno,Gustavo Dulanto
